Time,X,Y,Z
2024-02-21_143334,0.0001499926,0.0001564535,0.0003495796
2024-02-21_143334,0.0001625641,0.0003085642,0.0006685915
2024-02-21_143334,0.0002256599,0.0003470573,0.0005873042
2024-02-21_143334,0.0003528067,0.0001258218,0.0004847242
2024-02-21_143334,0.0004742115,0.0000209915,0.0012061817
2024-02-21_143334,0.0001574340,0.0001512426,0.0002242495
2024-02-21_143334,0.0002217497,0.0004878747,0.0001351029
2024-02-21_143334,0.0003254866,0.0003503012,0.0002909188
2024-02-21_143334,0.0002848495,0.0001847518,0.0007670864
2024-02-21_143334,0.0003247942,0.0001528788,0.0004858416
2024-02-21_143334,0.0000549876,0.0002837551,0.0003553073
2024-02-21_143334,0.0001412394,0.0000887006,0.0003716260
2024-02-21_143334,0.0001866089,0.0002321588,0.0004647758
2024-02-21_143334,0.0001225301,0.0002357887,0.0004134009
2024-02-21_143334,0.0002356823,0.0003908734,0.0001606107
2024-02-21_143334,0.0003315438,0.0000375199,0.0004500402
2024-02-21_143334,0.0000700672,0.0003936839,0.0000720932
2024-02-21_143334,0.0001243219,0.0001308325,0.0004863363
2024-02-21_143334,0.0001642735,0.0002799959,0.0005987791
2024-02-21_143334,0.0001369512,0.0002639622,0.0005302629
2024-02-21_143334,0.0001728717,0.0002635120,0.0001847039
2024-02-21_143334,0.0002507669,0.0002260656,0.0006387223
2024-02-21_143334,0.0001223193,0.0002839470,0.0004509233
2024-02-21_143334,0.0000802029,0.0002451796,0.0002323905
2024-02-21_143334,0.0002063207,0.0000944191,0.0003587179
2024-02-21_143334,0.0002533002,0.0005960354,0.0003502298
2024-02-21_143334,0.0001144848,0.0006719386,0.0003975415
2024-02-21_143334,0.0003510905,0.0002301928,0.0008735491
2024-02-21_143334,0.0002699894,0.0003676319,0.0003096691
2024-02-21_143334,0.0002356855,0.0002432311,0.0005059039
2024-02-21_143334,0.0001760457,0.0001794077,0.0004044413
2024-02-21_143334,0.0001908377,0.0002588414,0.0005922640
2024-02-21_143334,0.0001924765,0.0003443260,0.0006627170
2024-02-21_143334,0.0004029207,0.0002474145,0.0001877573
